geometry_type,latitude,longitude,global_id,name,category,sub_type,management,education,poi_type,number_of_teachers,number_of_students,ward_code,source,ward_name,lga_code,lga_name,state_code,state_name,lon,lat,alternate_name
POINT,10.466550091000045,7.952320610000072,09cbd1b4-72fd-4be1-b6c2-cf2232818d72,Universal Basic Education Sabon Gida,Primary,Primary,Public,Formal,School,,,KD1205,NMIS,Kallah,19012,Kajuru,KD,Kaduna,7.952320610000072,10.466550091000045,
POINT,10.515191671000025,8.47269166700005,09d8e00d-8813-40c4-9035-a906c837a8ce,LEA Primary School Maiyamma I,Primary,Standard,Public,Formal,School,,,KD1706,NMIS,Kudaru,19017,Lere,KD,Kaduna,8.47269166700005,10.515191671000025,
POINT,11.214368381000043,8.180174110000053,09f820b2-2f1a-46a9-8eee-8e39ab206187,LGEA Dan Lawal Primary School,Primary,Standard,Public,Formal,School,,,KD0504,NMIS,Kurmin Kogi,19005,Ikara,KD,Kaduna,8.180174110000053,11.214368381000043,
POINT,9.38793540100005,8.382235765000075,09fc1e9b-0a11-4fd5-826d-37e7845eaad4,Anglican Nursery and Primary School,Primary,Standard,Private,Formal,School,,,KD0705,NMIS,Godogodo,19007,Jema'A,KD,Kaduna,8.382235765000075,9.38793540100005,
POINT,10.145156591000045,8.522184250000066,0a0239ef-9a30-45ff-87bc-b8cc1813b2f8,Normadic Primary School Jamaar Iya,Primary,Primary,Public,Formal,School,,,KD1703,NMIS,Garu Mariri,19017,Lere,KD,Kaduna,8.522184250000066,10.145156591000045,
POINT,9.437513351000064,8.352500796000072,0a0d2a40-34f0-4d75-bb90-b18a0e9e5f10,Model Primary School Godogodo,Primary,Standard,Public,Formal,School,,,KD0705,NMIS,Godogodo,19007,Jema'A,KD,Kaduna,8.352500796000072,9.437513351000064,
POINT,10.456529260000025,7.4650137300000665,0a2612de-7e57-4e95-b347-0bc92a43b0f8,Lite Academy,Secondary,Aggregate,Private,Formal,School,,,KD0211,NMIS,Sabon Tasha,19002,Chikun,KD,Kaduna,7.4650137300000665,10.456529260000025,
POINT,11.248139931000026,7.474432080000042,0a357352-03b1-43fd-8b92-7f071f2a1486,Government Day Secondary School Giwa,Secondary,Standard,Public,Formal,School,,,KD0306,NMIS,Kakangi,19003,Giwa,KD,Kaduna,7.474432080000042,11.248139931000026,
POINT,10.662199260000023,6.393409967000025,0a3d9992-6759-47a5-a14d-16d432f4d1a6,Universal Basic Education,Primary,Standard,Public,Formal,School,,,KD0104,NMIS,Magajin Gari 2,19001,Birnin Gwari,KD,Kaduna,6.393409967000025,10.662199260000023,
POINT,10.823997640000073,7.271543100000031,0a558f05-a2b0-4f1a-a8e2-a9217ee03cd1,Universal Basic Education Primary School Rikau,Primary,Primary,Public,Formal,School,,,KD0410,NMIS,Sabon Birnin,19004,Igabi,KD,Kaduna,7.271543100000031,10.823997640000073,
POINT,11.106801430000075,7.723313090000033,0a69b23b-2064-4065-9c25-b2a6e46e7f92,Nigerian Railway Staff School,Primary,Primary,Public,Formal,School,,,KD1903,NMIS,Chikaji,19019,Sabon Gari,KD,Kaduna,7.723313090000033,11.106801430000075,
POINT,9.20898703000006,8.313775560000067,0a7afe3a-1a28-4f48-bc1d-e4e6e5cdeec4,Universal Basic Education Ankolo,Primary,Primary,Public,Formal,School,,,KD2002,NMIS,Arak,19020,Sanga,KD,Kaduna,8.313775560000067,9.20898703000006,
POINT,9.561670250000077,8.303993130000038,0a9a64b6-9524-41d1-b013-b569809f40c2,Universal Basic Education Takau 2,Primary,Primary,Public,Formal,School,,,KD0712,NMIS,Takau,19007,Jema'A,KD,Kaduna,8.303993130000038,9.561670250000077,
POINT,9.150324000000069,8.410533000000044,0aac8e65-8dfb-4cc4-b275-1ee1882919da,Ungwan Makama Pilot Science Primary School,Primary,Primary,Public,Formal,School,,,KD2010,NMIS,Ninzo West,19020,Sanga,KD,Kaduna,8.410533000000044,9.150324000000069,
POINT,10.04081227100005,7.10638952000005,0ab0b5fb-2876-4edc-92c3-b9cf36026006,LGEA Katarma I,Primary,Primary,Public,Formal,School,,,KD0201,NMIS,Chikun,19002,Chikun,KD,Kaduna,7.10638952000005,10.04081227100005,
POINT,11.318165661000023,7.79482662700002,0ac9c2c4-1d55-470c-b9ee-1759b041ac24,LEA Masaka,Primary,Primary,Public,Formal,School,,,KD1601,NMIS,Doka,19016,Kudan,KD,Kaduna,7.79482662700002,11.318165661000023,
POINT,10.92041596000007,7.647912360000021,0adaa392-7631-4de3-a941-ce2a0ca97d75,Eccde Lamban Zango Pre Primary School,Primary,Standard,Public,Formal,School,,,KD0412,NMIS,Zangon Aya,19004,Igabi,KD,Kaduna,7.647912360000021,10.92041596000007,
POINT,10.47758667100004,7.455600710000056,0af57a01-11eb-4e99-967e-d570a9fe1be7,Harry Royal Academy,Secondary,Aggregate,Private,Formal,School,,,KD0207,NMIS,Narayi,19002,Chikun,KD,Kaduna,7.455600710000056,10.47758667100004,
